"id";"niveau";"matiere";"theme";"chapitre";"ordre";"difficulte";"titre";"contexte";"question";"mots_cles";"correction";"xp"
"MT1-01";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Quelles ressources pour produire ?";"1";"1";"Ressources de Renault";"Pour lancer sa nouvelle R5 E-Tech électrique, le groupe Renault a investi massivement dans son usine de Douai (Renault ElectriCity) et a déposé plusieurs brevets sur la motorisation. Les équipes de R&D ont travaillé 3 ans sur le projet.";"Identifiez et classez les ressources mobilisées par Renault pour ce projet de production.";"ressources | tangibles | intangibles | production | innovation";"Ressources tangibles : financières (investissements massifs), matérielles (usine de Douai, chaînes de montage). Ressources intangibles : technologiques (brevets sur la motorisation), humaines (équipes R&D, ingénieurs).";"10"
"MT1-02";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Quels produits pour quels besoins ?";"2";"1";"Démarche marketing Nespresso";"Nespresso a basé son succès sur la vente de dosettes de café premium via ses propres boutiques et son site web, répondant à une demande de café de haute qualité à domicile. Récemment, la marque a lancé la gamme Vertuo pour cibler les amateurs de cafés longs.";"Caractérisez l'approche marketing de Nespresso lors du lancement de la gamme Vertuo.";"démarche marketing | besoins | offre | approche anticipatrice";"Nespresso adopte une approche marketing réactive et d'adaptation. L'entreprise a détecté une évolution des besoins des consommateurs (amateurs de cafés longs, notamment sur les marchés nord-américains et européens) et a ajusté son offre en créant une nouvelle technologie (Vertuo) pour y répondre et conserver ses parts de marché face à la concurrence.";"10"
"MT1-03";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Comment assurer un fonctionnement cohérent ?";"3";"1";"Organisation du travail SNCF";"Pour faire face aux pics de fréquentation lors des départs en vacances, la SNCF réorganise temporairement le travail de ses agents en gare (Gilets Rouges). Ces agents, habituellement assignés à des tâches administratives, sont déployés sur les quais pour orienter les voyageurs.";"Repérez le mode d'organisation du travail mis en place par la SNCF pour répondre à cette contrainte.";"organisation du travail | flexibilité | polyvalence | ressources humaines";"La SNCF met en place une organisation du travail basée sur la flexibilité fonctionnelle interne et la polyvalence. Les agents changent temporairement d'affectation pour répondre à une forte variation de l'activité, permettant à l'organisation d'être réactive sans avoir à recruter des contrats courts.";"10"
"MT1-04";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Comment assurer un fonctionnement cohérent ?";"4";"2";"Coordination chez Decathlon";"Dans un grand magasin Decathlon, le directeur laisse une forte autonomie aux responsables de rayon (montagne, cycle, eau). Ces responsables se réunissent chaque lundi matin pour ajuster les opérations de la semaine et s'assurer que l'agencement global du magasin est cohérent.";"Analysez le principal mécanisme de coordination utilisé entre les responsables de rayon.";"coordination | ajustement mutuel | décentralisation | fonctionnement";"Le principal mécanisme de coordination est l'ajustement mutuel. Les responsables de rayon se coordonnent par le biais d'une communication informelle et de réunions régulières (le lundi) pour résoudre les problèmes d'agencement, ce qui est adapté à un mode de gestion décentralisé favorisant l'autonomie.";"20"
"MT1-05";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Quels choix d'organisation de la production ?";"5";"2";"Logistique Air France";"Air France gère quotidiennement des milliers de plateaux-repas pour ses vols. La compagnie a confié cette mission à Servair. Les repas doivent être livrés exactement 2 heures avant le décollage pour garantir la chaîne du froid et éviter les retards des avions.";"Identifiez le type de flux de production mis en place et montrez son enjeu pour l'organisation.";"logistique | flux tendus | chaîne logistique | qualité";"Il s'agit d'une production en flux tendus (ou juste-à-temps). L'enjeu est critique : la maîtrise de la chaîne logistique permet d'assurer la qualité du service (sécurité alimentaire) et d'éviter les coûts colossaux d'un retard de vol. Cela exige une coordination parfaite entre Air France et son sous-traitant.";"20"
"MT1-06";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Quels produits pour quels besoins ?";"6";"2";"Modèle économique Danone";"Danone a réorienté son offre vers des produits végétaux (gamme Alpro) et la santé par l'alimentation. Les marges sur les produits végétaux sont nettement supérieures à celles des produits laitiers classiques, attirant une clientèle prête à payer plus cher pour des bénéfices santé.";"Analysez comment ce choix stratégique modifie le modèle économique et la création de valeur de Danone.";"modèle économique | création de valeur | positionnement | rentabilité";"Danone fait évoluer son business model en se positionnant sur un segment premium axé sur la santé (approche différenciatrice). La création de valeur financière est améliorée grâce à des marges unitaires plus fortes. La création de valeur perçue augmente car l'offre répond aux nouvelles attentes sociétales des consommateurs (bien-être, végétal).";"20"
"MT1-07";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Les transformations numériques, une chance pour la production ?";"7";"3";"Numérisation chez Michelin";"Michelin utilise l'intelligence artificielle pour analyser en temps réel les données de milliers de capteurs placés sur les machines de ses usines. L'algorithme anticipe les pannes avant qu'elles ne se produisent (maintenance prédictive).";"Diagnostiquez les avantages concurrentiels générés par l'utilisation de l'IA dans le processus de production de Michelin.";"transformation numérique | intelligence artificielle | processus | avantage concurrentiel";"L'intégration de l'IA permet à Michelin de réaliser de la maintenance prédictive (innovation de procédé). Avantages : réduction drastique des arrêts de production non planifiés, optimisation des coûts de maintenance, allongement de la durée de vie des équipements et garantie d'une production continue pour répondre aux commandes, constituant un avantage concurrentiel par les coûts et la fiabilité.";"30"
"MT1-08";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Quelles ressources pour produire ?";"8";"3";"GPEC chez Orange";"Avec le déploiement de la 5G et de la fibre, Orange anticipe la disparition progressive des anciens métiers liés au réseau cuivre (ADSL). Le groupe doit former des milliers de techniciens aux nouvelles technologies sous peine de manquer de main-d'œuvre qualifiée.";"Évaluez le rôle de la GPEC (Gestion Prévisionnelle des Emplois et des Compétences) pour accompagner cette transition technologique.";"GPEC | ressources humaines | compétences | anticipation | formation";"La GPEC est vitale pour Orange afin d'adapter ses ressources humaines (intangibles) à sa stratégie technologique. Elle permet de diagnostiquer l'écart entre les compétences actuelles (réseau cuivre) et futures (5G/fibre). Son rôle est d'anticiper par un plan de formation interne massif (requalification) pour éviter des licenciements et garantir l'employabilité, tout en sécurisant la production de services.";"30"
"MT1-09";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Quelles ressources pour produire ?";"9";"3";"Financement L'Oréal";"Pour construire une nouvelle usine neutre en carbone en Europe, L'Oréal a besoin de 150 millions d'euros. Le groupe hésite entre utiliser ses importantes réserves de liquidités (autofinancement) ou recourir à un emprunt bancaire à des taux attractifs.";"Arbitrez entre ces deux modes de financement en justifiant votre choix au regard de la situation d'un grand groupe.";"financement | investissement | autofinancement | emprunt | ressources financières";"L'emprunt bancaire est souvent l'arbitrage privilégié si les taux d'intérêt sont bas (effet de levier positif), permettant à L'Oréal de conserver ses liquidités (autofinancement) pour d'autres opportunités stratégiques (rachat d'une startup, innovation). Cependant, l'autofinancement garantit une totale indépendance financière sans frais financiers. Une solution mixte (fonds propres + emprunt) est souvent la plus judicieuse pour répartir les risques.";"30"
"MT1-10";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Quels choix d'organisation de la production ?";"10";"4";"Externalisation Carrefour";"Carrefour constate que la gestion de sa gamme de plats préparés bio génère des coûts fixes très élevés dans ses propres usines, pesant sur la rentabilité. La direction envisage d'externaliser cette production à un sous-traitant spécialisé.";"Proposez les critères de décision que Carrefour doit prendre en compte avant d'externaliser cette activité.";"organisation de la production | contrôle des coûts | externalisation | qualité";"Critères financiers : le coût complet de fabrication en interne vs le prix d'achat au sous-traitant. Critères qualitatifs : garantie du respect du cahier des charges bio et sécurité alimentaire. Critères stratégiques : le risque de perte de savoir-faire interne et la dépendance envers le fournisseur. Si le sous-traitant offre un coût spécifique plus bas avec une qualité certifiée, l'externalisation est pertinente.";"40"
