"id";"niveau";"matiere";"theme";"chapitre";"ordre";"difficulte";"titre";"contexte";"question";"mots_cles";"correction";"xp"
"MT1-16";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.2. Quelles ressources pour produire ?";"1";"1";"Définir le FRNG, BFR et la TN";"Le directeur financier de Sanofi analyse le bilan de l'entreprise pour préparer un nouvel investissement. Il a besoin de s'assurer de l'équilibre financier global de la structure avant d'emprunter.";"Définissez les notions de Fonds de Roulement Net Global (FRNG), Besoin en Fonds de Roulement (BFR) et Trésorerie Nette (TN).";"FRNG | BFR | trésorerie nette | équilibre financier | définition";"Le FRNG représente l'excédent de ressources à long terme (capitaux propres, emprunts) après financement des actifs immobilisés. Le BFR est le besoin de financement généré par le cycle d'exploitation (stocks + créances - dettes fournisseurs). La TN est la différence entre le FRNG et le BFR : elle représente les liquidités réellement disponibles (si FRNG > BFR).";"10"
"MT1-17";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.3. Quels choix d'organisation de la production pour concilier flexibilité, qualité et maîtrise des coûts ?";"2";"1";"Définir les méthodes de calcul de coûts";"L'entreprise Renault fabrique plusieurs modèles de voitures dans son usine de Flins. La direction industrielle hésite sur la méthode comptable à utiliser pour évaluer la rentabilité d'un modèle spécifique.";"Définissez la méthode du coût complet et la méthode du coût spécifique.";"coût complet | coût spécifique | charges directes | charges indirectes | définition";"Le coût complet consiste à imputer à un produit la totalité des charges (directes et indirectes) qu'il a générées, nécessitant des clés de répartition pour les charges communes. Le coût spécifique impute à un produit ses charges variables et uniquement les charges fixes directes qui lui sont propres, permettant de dégager une marge sur coût spécifique.";"10"
"MT1-18";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.1. Quels produits ou quels services pour quels besoins ?";"3";"1";"Indicateurs de création de valeur";"Le groupe LVMH présente son rapport annuel. Il y figure notamment le Chiffre d'Affaires, l'Excédent Brut d'Exploitation (EBE) et le Résultat Net.";"À l'aide de ces indicateurs extraits du compte de résultat, expliquez comment l'entreprise mesure la création de valeur financière.";"création de valeur | compte de résultat | indicateurs | valeur ajoutée | EBE";"L'entreprise utilise les indicateurs du compte de résultat pour évaluer sa valeur financière. Le Chiffre d'Affaires mesure le volume des ventes. La Valeur Ajoutée (déduite des consommations intermédiaires) mesure la richesse réellement créée par son activité. L'EBE évalue la ressource tirée uniquement de l'exploitation, et le Résultat Net indique le bénéfice final (ou perte) distribuable ou mis en réserve.";"10"
"MT1-19";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.2. Quelles ressources pour produire ?";"4";"2";"Calcul simple de Trésorerie Nette";"La maison Hermès dispose pour son dernier exercice d'un Fonds de Roulement Net Global (FRNG) de 500 millions d'euros et d'un Besoin en Fonds de Roulement (BFR) de 200 millions d'euros.";"Calculez la Trésorerie Nette (TN) d'Hermès et interprétez ce résultat.";"calcul | trésorerie nette | FRNG | BFR | analyse financière";"Calcul de la Trésorerie Nette : TN = FRNG - BFR. TN = 500 millions - 200 millions = 300 millions d'euros. Interprétation : La trésorerie nette est positive et très abondante. Hermès dégage un excédent de ressources à long terme largement suffisant pour couvrir ses besoins d'exploitation, ce qui témoigne d'une excellente santé financière et d'une forte capacité à investir ou à faire face aux imprévus.";"20"
"MT1-20";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.3. Quels choix d'organisation de la production pour concilier flexibilité, qualité et maîtrise des coûts ?";"5";"2";"Pertinence du coût spécifique";"Air France étudie la rentabilité d'une ligne spécifique entre Paris et Tokyo. La compagnie identifie des charges variables (kérosène, repas) et des charges fixes directes (location de l'emplacement à l'aéroport de Tokyo).";"Analysez la pertinence de la méthode des coûts spécifiques pour décider du maintien ou non de cette ligne aérienne.";"contrôle des coûts | coût spécifique | prise de décision | marge | charges fixes directes";"La méthode des coûts spécifiques est très pertinente ici. Elle permet de calculer la marge sur coût spécifique en soustrayant du chiffre d'affaires de la ligne ses charges variables et ses charges fixes directes (location, personnel dédié). Si cette marge est positive, la ligne contribue à absorber les charges fixes communes d'Air France (siège social). Si elle est négative, la ligne détruit de la valeur et sa fermeture doit être envisagée.";"20"
"MT1-21";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.3. Quels choix d'organisation de la production pour concilier flexibilité, qualité et maîtrise des coûts ?";"6";"2";"Logistique et flux tendus";"Decathlon approvisionne ses magasins européens à partir de ses entrepôts centraux. Pour certains produits très demandés (vélos), la production n'est lancée qu'une fois la commande magasin validée, afin de réduire les stocks.";"Identifiez ce mode d'organisation logistique et expliquez ses avantages pour l'entreprise.";"logistique | flux tendus | stockage | demande | réactivité";"Decathlon utilise ici la production en flux tendus (ou juste-à-temps), déclenchée par la demande (flux tirés). Les avantages sont une forte diminution des coûts liés au stockage (frais d'entrepôt, invendus, obsolescence) et une meilleure flexibilité, car la production s'adapte en temps réel aux besoins exacts des clients.";"20"
"MT1-22";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.5. Comment assurer un fonctionnement cohérent des organisations ?";"7";"3";"Mécanismes de coordination";"Dans un centre d'appels Orange, les téléconseillers doivent suivre des scripts (scénarios) très précis pour chaque type d'appel client, et la durée maximale de chaque appel est paramétrée dans l'ordinateur.";"Identifiez le mécanisme de coordination mis en œuvre par Orange et précisez ses objectifs.";"coordination | standardisation des procédés | procédures | contrôle";"Le mécanisme de coordination est la standardisation des procédés de travail (modèle de Mintzberg). Les étapes de l'action sont programmées à l'avance (scripts, durée imposée). L'objectif pour Orange est d'assurer une qualité de service uniforme, de faciliter la formation des nouveaux conseillers et de maximiser la productivité globale par le contrôle strict du temps.";"30"
"MT1-23";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.4. Les transformations numériques, une chance pour la production ?";"8";"3";"Numérisation et objets connectés";"L'usine Michelin de Clermont-Ferrand utilise des capteurs IoT (objets connectés) sur ses machines pour mesurer les vibrations et la température. Ces données remontent dans le Cloud pour être analysées en temps réel.";"Expliquez comment l'intégration de ces nouvelles technologies (objets connectés, cloud) améliore le processus de production.";"transformations numériques | objets connectés | cloud computing | automatisation | maintenance";"Les objets connectés (IoT) permettent de collecter des données massives sur l'état des machines. L'informatique en nuage (Cloud) permet de stocker et d'analyser ces flux d'informations en temps réel. Cela améliore le processus de production en autorisant une maintenance prédictive : l'entreprise anticipe les pannes avant qu'elles ne surviennent, réduisant ainsi les arrêts coûteux des chaînes de fabrication.";"30"
"MT1-24";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.1. Quels produits ou quels services pour quels besoins ?";"9";"3";"Modèle économique Freemium";"Deezer propose une application d'écoute de musique. L'offre de base est gratuite mais comporte des publicités et des sauts de titres limités. L'offre Premium est payante et débloque toutes les fonctionnalités.";"Analysez ce modèle économique et montrez comment l'entreprise crée de la valeur avec l'offre gratuite.";"modèle économique | freemium | création de valeur | publicité | conversion";"Deezer utilise un modèle économique 'Freemium' (contraction de free et premium). La création de valeur avec l'offre gratuite se fait indirectement : d'une part, grâce aux revenus générés par la vente d'espaces publicitaires, et d'autre part, en captant massivement des utilisateurs (effet de réseau) dont une partie finira par se convertir en abonnés payants pour améliorer leur expérience utilisateur.";"30"
"MT1-25";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.2. Quelles ressources pour produire ?";"10";"4";"Analyse du BFR négatif";"Carrefour encaisse quotidiennement l'argent de ses clients aux caisses (paiement comptant), alors que l'enseigne paie ses fournisseurs agroalimentaires à 60 jours. La rotation de ses stocks est très rapide.";"Diagnostiquez l'impact de ce fonctionnement sur le Besoin en Fonds de Roulement (BFR) de Carrefour et sa Trésorerie Nette.";"BFR négatif | ressources de financement | grande distribution | trésorerie nette";"En encaissant ses clients avant de payer ses fournisseurs, et grâce à une rotation rapide des stocks, Carrefour génère des dettes d'exploitation supérieures à ses actifs d'exploitation. Le BFR est donc négatif : ce n'est plus un besoin de financement, mais une véritable 'ressource en fonds de roulement'. Cela impacte très positivement la Trésorerie Nette, qui devient abondante et permet à l'enseigne de placer cet argent ou d'autofinancer de nouveaux magasins sans emprunter.";"40"
"MT1-26";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.5. Comment assurer un fonctionnement cohérent des organisations ?";"11";"4";"Lean management et polyvalence";"Dans l'usine Toyota de Valenciennes, les ouvriers sont formés pour occuper plusieurs postes sur la chaîne de montage (polyvalence) et sont encouragés à arrêter la chaîne et proposer des solutions s'ils détectent un défaut.";"Évaluez l'impact de cette organisation du travail (Lean management) sur la flexibilité et la qualité de la production.";"organisation du travail | lean management | polyvalence | flexibilité | qualité";"Cette organisation (inspirée du Toyotisme et du Lean Management) s'oppose à la spécialisation extrême du Taylorisme. La polyvalence offre une grande flexibilité RH (remplacement immédiat en cas d'absence). Le fait de responsabiliser les ouvriers dans la détection des défauts (enrichissement des tâches) permet d'améliorer la qualité continue du produit final et de réduire les rebuts, tout en valorisant l'expertise du salarié.";"40"
"MT1-27";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.1. Quels produits ou quels services pour quels besoins ?";"12";"4";"Innovation de procédé";"Air Liquide a modifié sa façon de produire de l'hydrogène industriel en intégrant une nouvelle technologie de capture du CO2 au sein même de ses usines, sans changer les caractéristiques du gaz vendu aux clients finaux.";"Qualifiez ce type d'innovation et justifiez l'intérêt pour l'organisation de mener ce type d'action stratégique.";"innovation de procédé | méthode de production | impact environnemental | rentabilité";"Il s'agit d'une innovation de procédé. L'entreprise ne crée pas un nouveau produit, mais modifie considérablement la méthode de production. L'intérêt stratégique est double : réduire les coûts liés aux taxes carbone (maîtrise des coûts) et améliorer la performance environnementale du groupe (RSE), ce qui constitue un avantage concurrentiel face aux normes écologiques de plus en plus strictes.";"40"
"MT1-28";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.2. Quelles ressources pour produire ?";"13";"5";"Arbitrage de financement";"Le groupe EDF doit financer la construction de six nouveaux réacteurs nucléaires EPR (coût estimé : plus de 50 milliards d'euros). Le groupe hésite entre l'autofinancement, un endettement massif ou une augmentation de capital avec l'aide de l'État.";"Construisez une argumentation pour aider la direction financière d'EDF à arbitrer entre ces trois ressources financières.";"financement | investissement | ressources financières | augmentation de capital | endettement";"Argumentation : 1. L'autofinancement est impossible car les sommes (50 mds) dépassent largement les capacités des réserves d'EDF, et cela assécherait sa trésorerie. 2. L'emprunt bancaire classique (endettement massif) est très risqué car EDF est déjà lourdement endettée ; les charges d'intérêt dégraderaient fortement son résultat net. 3. L'augmentation de capital (fonds propres) soutenue par l'État est l'option la plus stratégique et soutenable. Elle renforce le FRNG sans créer de charges financières (pas d'intérêts), offrant la solidité nécessaire à un investissement sur très long terme (plus de 20 ans).";"50"
"MT1-29";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"1.3. Quels choix d'organisation de la production pour concilier flexibilité, qualité et maîtrise des coûts ?";"14";"5";"Externalisation stratégique";"Airbus se concentre sur l'assemblage final des avions et la conception (R&D). La fabrication de l'immense majorité des pièces (sièges, câblages, moteurs) est externalisée auprès de sous-traitants mondiaux spécialisés.";"Formulez un diagnostic critique de ce choix d'organisation de la production (Faire ou Faire faire).";"externalisation | sous-traitance | contrôle des coûts | dépendance | stratégie";"Diagnostic : En choisissant le 'Faire faire' (externalisation), Airbus transforme des coûts fixes (usines) en coûts variables (achat de pièces). Cela accroît sa flexibilité financière et permet de bénéficier de l'expertise de pointe des sous-traitants. Cependant, cette stratégie présente des limites critiques : Airbus devient fortement dépendant de ses partenaires. Le moindre retard d'un sous-traitant (ou un défaut de qualité) peut paralyser toute la chaîne de montage finale, mettant en péril les délais de livraison et l'image du constructeur.";"50"
